Notes,State,State Code,Year,Year Code,Sex,Sex Code,Race,Race Code,Age Group,Age Group Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
,Alabama,1,2008,2008,Male,M,White,2106-3,60-64 years ,60-64,224,97112,230.7,201.4,262.9,15.4
,Alabama,1,2008,2008,Male,M,White,2106-3,65-69 years,65-69,268,75479,355.1,313.8,400.2,21.7
,Alabama,1,2008,2008,Male,M,White,2106-3,70-74 years,70-74,269,57358,469,414.6,528.5,28.6
,Alabama,1,2008,2008,Male,M,White,2106-3,75-79 years,75-79,242,42692,566.9,497.7,643,36.4
,Alabama,1,2008,2008,Male,M,White,2106-3,80-84 years,80-84,192,27908,688,594.1,792.5,49.7
,Alabama,1,2008,2008,Male,M,White,2106-3,85+ years,85+,111,17722,626.3,515.3,754.3,59.4
,Alabama,1,2009,2009,Female,F,Black or African American,2054-5,55-59 years,55-59,25,40920,61.1,39.5,90.2,12.2
,Alabama,1,2009,2009,Female,F,Black or African American,2054-5,60-64 years ,60-64,20,29298,68.3,41.7,105.4,15.3
,Alabama,1,2009,2009,Female,F,Black or African American,2054-5,65-69 years,65-69,31,21147,146.6,99.6,208.1,26.3
,Alabama,1,2009,2009,Female,F,Black or African American,2054-5,70-74 years,70-74,27,16820,160.5,105.8,233.6,30.9
,Alabama,1,2009,2009,Female,F,Black or African American,2054-5,75-79 years,75-79,20,13372,149.6,91.4,231,33.4
,Alabama,1,2009,2009,Female,F,Black or African American,2054-5,80-84 years,80-84,23,10183,225.9,143.2,338.9,47.1
,Alabama,1,2009,2009,Female,F,White,2106-3,45-49 years,45-49,27,126214,21.4,14.1,31.1,4.1
,Alabama,1,2009,2009,Female,F,White,2106-3,50-54 years,50-54,52,125966,41.3,30.8,54.1,5.7
,Alabama,1,2009,2009,Female,F,White,2106-3,55-59 years,55-59,73,116145,62.9,49.3,79,7.4
,Alabama,1,2009,2009,Female,F,White,2106-3,60-64 years ,60-64,150,107769,139.2,117.8,163.3,11.4
,Alabama,1,2009,2009,Female,F,White,2106-3,65-69 years,65-69,179,87140,205.4,176.4,237.8,15.4
,Alabama,1,2009,2009,Female,F,White,2106-3,70-74 years,70-74,176,70426,249.9,214.3,289.7,18.8
,Alabama,1,2009,2009,Female,F,White,2106-3,75-79 years,75-79,169,56376,299.8,256.3,348.5,23.1
,Alabama,1,2009,2009,Female,F,White,2106-3,80-84 years,80-84,140,44447,315,265,371.7,26.6
,Alabama,1,2009,2009,Female,F,White,2106-3,85+ years,85+,104,41754,249.1,203.5,301.8,24.4
,Alabama,1,2009,2009,Male,M,Black or African American,2054-5,45-49 years,45-49,19,40403,47,28.3,73.4,10.8
,Alabama,1,2009,2009,Male,M,Black or African American,2054-5,50-54 years,50-54,34,40398,84.2,58.3,117.6,14.4
,Alabama,1,2009,2009,Male,M,Black or African American,2054-5,55-59 years,55-59,63,34192,184.3,141.6,235.7,23.2
